[meta] uuid,Sports club,Political party,Church or other religious institution,"Other type of club (music / art, entertainment, social work etc.)",None of the above
4185c6d0-9fee-0134-6bec-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
418f2a50-9d65-0134-c104-0aaafcbd6b1f,TRUE,FALSE,FALSE,TRUE,FALSE
4197a100-9e0b-0134-41da-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
41fc1120-9e4f-0134-6815-0a62e1402143,TRUE,FALSE,FALSE,TRUE,FALSE
420c5510-9d91-0134-277c-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
42190e30-9e4d-0134-2351-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
42217170-9d6c-0134-8a66-0aaafcbd6b1f,TRUE,TRUE,FALSE,FALSE,FALSE
422f1590-9d95-0134-c2e7-0aaafcbd6b1f,TRUE,FALSE,TRUE,TRUE,FALSE
4245d760-9e2f-0134-7841-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
4245f240-9fab-0134-9404-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
42f20330-a047-0134-bd47-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
43163e90-9d95-0134-96e9-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
43243530-9e1c-0134-37eb-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
437fcb40-a067-0134-f289-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
43d161d0-9ed2-0134-22eb-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
44054910-a490-0134-c6f9-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
