[meta] uuid,White (Caucasian),North African / Middle Eastern,Asian (includes Indian),Hispanic or Latino,Black,Other
49f04a90-9d3d-0134-51e1-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
c8b49700-9e0a-0134-64cd-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3e548e70-9f67-0134-9428-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10792d80-9f5e-0134-c7a5-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
0e11e880-9e93-0134-1502-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2e242480-9d6d-0134-8e2b-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5e855550-9e1f-0134-ca24-0aaafcbd6b1f,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
d8b0f090-a073-0134-1318-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3e4760b0-9f5e-0134-c8d5-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39639340-9f37-0134-a569-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
f088bb50-9f92-0134-dd5a-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
b9793480-9ee9-0134-4d1a-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
681d9320-9e05-0134-03b7-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
97622bf0-a00f-0134-d82c-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
eaa445a0-9f70-0134-8930-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6f65a740-9f7c-0134-a561-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
cd5d8f40-a1ab-0134-ab63-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ce10cce0-9f79-0134-a92a-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
77d33370-9e7b-0134-dc05-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4e4cc470-a1eb-0134-3179-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ed7fe090-9e10-0134-ec88-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
bd37b7a0-9eba-0134-3851-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
85b929c0-9d76-0134-a263-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2fe49c80-a038-0134-0168-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
793049d0-a03c-0134-c8e2-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
f84f5110-a03e-0134-2723-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
de7acb50-9ebb-0134-3118-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4433c730-a03a-0134-db83-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
